,commodity,year,msprice,label
0,bajri,2012,1175,0
1,bajri,2013,1310,0
2,bajri,2014,1250,0
3,bajri,2015,1275,0
4,bajri,2016,1330,0
5,barli,2012,980,1
6,barli,2013,1100,1
7,barli,2014,1150,1
8,barli,2015,1225,1
9,barli,2016,1310,1
10,coconut,2012,1400,2
11,coconut,2013,1425,2
12,coconut,2014,1425,2
13,coconut,2015,1500,2
14,coconut,2016,1600,2
15,copra (ball)_yellow,2012,5350,3
16,copra (ball)_yellow,2013,5500,3
17,copra (ball)_yellow,2014,5500,3
18,copra (ball)_yellow,2015,5830,3
19,copra (ball)_yellow,2016,6240,3
20,copra (milling)_yellow,2012,5100,4
21,copra (milling)_yellow,2013,5250,4
22,copra (milling)_yellow,2014,5250,4
23,copra (milling)_yellow,2015,5550,4
24,copra (milling)_yellow,2016,5950,4
25,cotton,2012,3600,5
26,cotton,2013,3700,5
27,cotton,2014,3750,5
28,cotton,2015,3800,5
29,cotton,2016,3860,5
30,cotton_long staple,2012,3900,6
31,cotton_long staple,2013,4000,6
32,cotton_long staple,2014,4050,6
33,cotton_long staple,2015,4100,6
34,cotton_long staple,2016,4160,6
35,gr.nut kernels,2012,3700,7
36,gr.nut kernels,2013,4000,7
37,gr.nut kernels,2014,4000,7
38,gr.nut kernels,2015,4030,7
39,gr.nut kernels,2016,4120,7
40,gram_yellow,2012,3000,8
41,gram_yellow,2013,3100,8
42,gram_yellow,2014,3175,8
43,gram_yellow,2015,3425,8
44,gram_yellow,2016,3512,8
45,jowar_hybrid,2012,1500,9
46,jowar_hybrid,2013,1500,9
47,jowar_hybrid,2014,1530,9
48,jowar_hybrid,2015,1570,9
49,jowar_hybrid,2016,1625,9
50,jute_yellow,2012,2200,10
51,jute_yellow,2013,2300,10
52,jute_yellow,2014,2400,10
53,jute_yellow,2015,2700,10
54,jute_yellow,2016,3200,10
55,maize,2012,1175,11
56,maize,2013,1310,11
57,maize,2014,1310,11
58,maize,2015,1325,11
59,maize,2016,1365,11
60,masur_yellow,2012,2900,12
61,masur_yellow,2013,2950,12
62,masur_yellow,2014,3075,12
63,masur_yellow,2015,3325,12
64,masur_yellow,2016,3412,12
65,mustard,2012,3000,13
66,mustard,2013,3050,13
67,mustard,2014,3100,13
68,mustard,2015,3350,13
69,mustard,2016,3400,13
70,niger-seed,2012,3500,14
71,niger-seed,2013,3500,14
72,niger-seed,2014,3600,14
73,niger-seed,2015,3650,14
74,niger-seed,2016,3725,14
75,paddy-unhusked,2012,1250,15
76,paddy-unhusked,2013,1310,15
77,paddy-unhusked,2014,1360,15
78,paddy-unhusked,2015,1410,15
79,paddy-unhusked,2016,1470,15
80,pigeon pea (tur),2012,3850,16
81,pigeon pea (tur),2013,4300,16
82,pigeon pea (tur),2014,4350,16
83,pigeon pea (tur),2015,4425,16
84,pigeon pea (tur),2016,4625,16
85,ragi_maldandi,2012,1500,17
86,ragi_maldandi,2013,1500,17
87,ragi_maldandi,2014,1550,17
88,ragi_maldandi,2015,1650,17
89,ragi_maldandi,2016,1725,17
90,rice(paddy-hus),2012,1280,18
91,rice(paddy-hus),2013,1345,18
92,rice(paddy-hus),2014,1400,18
93,rice(paddy-hus),2015,1450,18
94,rice(paddy-hus),2016,1510,18
95,safflower,2012,2800,19
96,safflower,2013,3000,19
97,safflower,2014,3050,19
98,safflower,2015,3300,19
99,safflower,2016,3425,19
100,sesamum,2012,4200,20
101,sesamum,2013,4500,20
102,sesamum,2014,4600,20
103,sesamum,2015,4700,20
104,sesamum,2016,4800,20
105,sorgum(jawar),2012,1520,21
106,sorgum(jawar),2013,1520,21
107,sorgum(jawar),2014,1550,21
108,sorgum(jawar),2015,1590,21
109,sorgum(jawar),2016,1650,21
110,soyabean,2012,2240,22
111,soyabean,2013,2560,22
112,soyabean,2014,2560,22
113,soyabean,2015,2600,22
114,soyabean,2016,2675,22
115,soyabean_black,2012,2200,23
116,soyabean_black,2013,2500,23
117,soyabean_black,2014,2500,23
118,soyabean_black,2015,2700,23
119,soyabean_black,2016,2850,23
120,spilt gerrn gram,2012,4400,24
121,spilt gerrn gram,2013,4500,24
122,spilt gerrn gram,2014,4600,24
123,spilt gerrn gram,2015,4650,24
124,spilt gerrn gram,2016,4800,24
125,split black gram,2012,4300,25
126,split black gram,2013,4300,25
127,split black gram,2014,4350,25
128,split black gram,2015,4425,25
129,split black gram,2016,4575,25
130,sugarcane,2016,230,27
131,sugar-cane,2012,170,26
132,sugar-cane,2013,210,26
133,sugar-cane,2014,220,26
134,sugar-cane,2015,230,26
135,sunflower,2012,3700,28
136,sunflower,2013,3700,28
137,sunflower,2014,3750,28
138,sunflower,2015,3800,28
139,sunflower,2016,3850,28
140,toria_yellow,2012,2970,29
141,toria_yellow,2013,3020,29
142,toria_yellow,2014,3020,29
143,toria_yellow,2015,3290,29
144,toria_yellow,2016,3315,29
145,wheat(husked),2012,1350,30
146,wheat(husked),2013,1400,30
147,wheat(husked),2014,1450,30
148,wheat(husked),2015,1525,30
149,wheat(husked),2016,1575,30
150,wheat(unhusked),2012,1350,31
151,wheat(unhusked),2013,1400,31
152,wheat(unhusked),2014,1450,31
153,wheat(unhusked),2015,1525,31
154,wheat(unhusked),2016,1575,31
